rna-XM_005852746.1	gene-TOMM6	TOMM6
rna-XM_014544104.1	gene-TOX	TOX
gene-LOC102258723	gene-LOC102258723	LOC102258723
rna-XM_005871668.2	gene-NSMAF	NSMAF
rna-XR_001363187.1	gene-LOC106727037	LOC106727037
rna-XM_005871647.2	gene-SDCBP	SDCBP
rna-XM_005871648.2	gene-SDCBP	SDCBP
rna-XM_014544106.1	gene-SDCBP	SDCBP
rna-XM_005871650.2	gene-LOC102259720	LOC102259720
rna-XM_014544108.1	gene-UBXN2B	UBXN2B
rna-XM_014544107.1	gene-UBXN2B	UBXN2B
rna-XR_001363183.1	gene-LOC106727033	LOC106727033
rna-XM_005871651.2	gene-FAM110B	FAM110B
rna-XM_014544110.1	gene-FAM110B	FAM110B
rna-XM_014544111.1	gene-FAM110B	FAM110B
rna-XM_005871652.2	gene-FAM110B	FAM110B
rna-XM_014544109.1	gene-FAM110B	FAM110B
rna-XM_014544112.1	gene-IMPAD1	IMPAD1
gene-LOC102240940	gene-LOC102240940	LOC102240940
rna-XM_005871671.2	gene-PENK	PENK
rna-XM_014544113.1	gene-PENK	PENK
rna-XM_014544114.1	gene-SDR16C5	SDR16C5
rna-XM_005871655.2	gene-SDR16C5	SDR16C5
rna-XM_005871656.2	gene-CHCHD7	CHCHD7
rna-XM_005871657.2	gene-CHCHD7	CHCHD7
rna-XM_014544115.1	gene-CHCHD7	CHCHD7
rna-XM_005871658.2	gene-PLAG1	PLAG1
rna-XM_005871659.2	gene-PLAG1	PLAG1
rna-XM_014544116.1	gene-PLAG1	PLAG1
rna-XM_014544117.1	gene-PLAG1	PLAG1
rna-XM_014544118.1	gene-PLAG1	PLAG1
rna-XM_014544119.1	gene-PLAG1	PLAG1
rna-XM_005871660.1	gene-MOS	MOS
gene-LOC102262606	gene-LOC102262606	LOC102262606
gene-LOC102241560	gene-LOC102241560	LOC102241560
rna-XM_005871672.1	gene-RPS20	RPS20
rna-XM_005871662.2	gene-LYN	LYN
rna-XM_005871661.2	gene-LYN	LYN
rna-XM_005871663.2	gene-TGS1	TGS1
rna-XM_005871664.2	gene-TGS1	TGS1
rna-XM_014544120.1	gene-TMEM68	TMEM68
rna-XM_005871666.2	gene-TMEM68	TMEM68
rna-XM_014544121.1	gene-TMEM68	TMEM68
rna-XM_005871673.2	gene-XKR4	XKR4
rna-XM_005871674.1	gene-LOC102242461	LOC102242461
rna-XM_014544122.1	gene-LOC102243365	LOC102243365
rna-XM_005871675.2	gene-PHKA1	PHKA1
gene-LOC102243073	gene-LOC102243073	LOC102243073
gene-LOC102242770	gene-LOC102242770	LOC102242770
gene-LOC102247275	gene-LOC102247275	LOC102247275
gene-LOC102247564	gene-LOC102247564	LOC102247564
gene-LOC102243948	gene-LOC102243948	LOC102243948
gene-LOC102247849	gene-LOC102247849	LOC102247849
rna-XR_001363191.1	gene-LOC106727041	LOC106727041
rna-XM_014544124.1	gene-USP15	USP15
rna-XM_014544126.1	gene-USP15	USP15
rna-XM_014544125.1	gene-USP15	USP15
rna-XM_014544127.1	gene-USP15	USP15
rna-XM_014544132.1	gene-MON2	MON2
rna-XM_005871676.2	gene-MON2	MON2
rna-XM_005871677.2	gene-MON2	MON2
rna-XM_005871678.2	gene-MON2	MON2
rna-XM_005871679.2	gene-MON2	MON2
rna-XM_014544128.1	gene-MON2	MON2
rna-XM_014544129.1	gene-MON2	MON2
rna-XM_005871682.2	gene-MON2	MON2
rna-XM_014544130.1	gene-MON2	MON2
rna-XM_014544131.1	gene-MON2	MON2
rna-XM_005871681.2	gene-MON2	MON2
rna-XM_005871690.2	gene-PPM1H	PPM1H
gene-LOC102248750	gene-LOC102248750	LOC102248750
rna-XM_005871683.2	gene-AVPR1A	AVPR1A
gene-LOC102249050	gene-LOC102249050	LOC102249050
rna-XM_014544133.1	gene-TMEM5	TMEM5
rna-XM_014544123.1	gene-LOC102249642	LOC102249642
gene-LOC106727040	gene-LOC106727040	LOC106727040
rna-XM_005871684.2	gene-SRGAP1	SRGAP1
rna-XM_005871685.2	gene-SRGAP1	SRGAP1
rna-XM_014544135.1	gene-LOC102246555	LOC102246555
rna-XM_005871686.2	gene-LOC102246555	LOC102246555
rna-XM_014544134.1	gene-LOC102246555	LOC102246555
rna-XM_014544136.1	gene-LOC106727043	LOC106727043
id-LOC102250846	gene-LOC102250846	LOC102250846
rna-XM_005871695.2	gene-LOC102251143	LOC102251143
rna-XM_005871696.2	gene-LOC102251428	LOC102251428
rna-XM_014544137.1	gene-LOC102251726	LOC102251726
rna-XM_014544138.1	gene-LOC102252028	LOC102252028
rna-XM_005871699.1	gene-LOC102252326	LOC102252326
rna-XM_005871700.1	gene-LOC102252612	LOC102252612
id-LOC102250550	gene-LOC102250550	LOC102250550
gene-LOC102252915	gene-LOC102252915	LOC102252915
rna-XM_014544139.1	gene-LOC102250240	LOC102250240
rna-XM_014544140.1	gene-LOC102250240	LOC102250240
gene-LOC102253511	gene-LOC102253511	LOC102253511
gene-LOC102254416	gene-LOC102254416	LOC102254416
gene-LOC102254700	gene-LOC102254700	LOC102254700
gene-LOC102254995	gene-LOC102254995	LOC102254995
gene-LOC102255304	gene-LOC102255304	LOC102255304
rna-XM_005871701.2	gene-LOC102253815	LOC102253815
rna-XM_005871702.2	gene-KLHL1	KLHL1
rna-XM_005871703.2	gene-LOC102255605	LOC102255605
rna-XM_014544143.1	gene-LOC102255907	LOC102255907
rna-XM_014544142.1	gene-LOC102256215	LOC102256215
rna-XM_005871707.2	gene-ACKR3	ACKR3
rna-XM_005871708.2	gene-ACKR3	ACKR3
rna-XM_014544146.1	gene-ACKR3	ACKR3
rna-XM_005871709.2	gene-IQCA1	IQCA1
rna-XM_005871725.2	gene-ASB18	ASB18
rna-XM_014544147.1	gene-GBX2	GBX2
rna-XM_014544150.1	gene-AGAP1	AGAP1
rna-XM_005871713.2	gene-AGAP1	AGAP1
rna-XM_005871712.2	gene-AGAP1	AGAP1
rna-XM_014544148.1	gene-AGAP1	AGAP1
rna-XM_014544149.1	gene-AGAP1	AGAP1
rna-XM_014544151.1	gene-AGAP1	AGAP1
rna-XM_014544152.1	gene-AGAP1	AGAP1
rna-XM_014544153.1	gene-AGAP1	AGAP1
rna-XM_014544154.1	gene-AGAP1	AGAP1
rna-XM_014544155.1	gene-AGAP1	AGAP1
gene-LOC102262397	gene-LOC102262397	LOC102262397
rna-XM_014544157.1	gene-LOC106727046	LOC106727046
rna-XM_014544156.1	gene-SH3BP4	SH3BP4
rna-XM_005871714.2	gene-SH3BP4	SH3BP4
rna-XM_014544158.1	gene-LOC102259132	LOC102259132
rna-XR_001363193.1	gene-LOC106727045	LOC106727045
rna-XM_014544159.1	gene-ARL4C	ARL4C
rna-XR_001363194.1	gene-LOC106727047	LOC106727047
rna-XM_005871718.2	gene-SPP2	SPP2
rna-XM_014544160.1	gene-TRPM8	TRPM8
rna-XM_014544161.1	gene-HJURP	HJURP
rna-XM_014544162.1	gene-HJURP	HJURP
rna-XM_014544145.1	gene-MROH2A	MROH2A
rna-XM_005871723.2	gene-LOC102260925	LOC102260925
rna-XM_005871721.2	gene-LOC102260925	LOC102260925
rna-XM_005871722.2	gene-LOC102260925	LOC102260925
rna-XM_005871724.2	gene-LOC102260925	LOC102260925
rna-XM_014544144.1	gene-LOC106727044	LOC106727044
rna-XM_014544164.1	gene-LOC102263327	LOC102263327
rna-XR_001363195.1	gene-LOC106727049	LOC106727049
rna-XM_014544165.1	gene-SNX29	SNX29
gene-LOC102246766	gene-LOC102246766	LOC102246766
rna-XM_014544166.1	gene-TNFRSF17	TNFRSF17
rna-XM_014544171.1	gene-GSPT1	GSPT1
rna-XM_014544170.1	gene-GSPT1	GSPT1
rna-XM_014544172.1	gene-GSPT1	GSPT1
rna-XM_005871733.2	gene-RSL1D1	RSL1D1
rna-XM_014544167.1	gene-LOC102247085	LOC102247085
rna-XM_014544174.1	gene-ZC3H7A	ZC3H7A
rna-XM_005871734.2	gene-ZC3H7A	ZC3H7A
rna-XM_005871736.2	gene-ZC3H7A	ZC3H7A
rna-XM_005871735.2	gene-ZC3H7A	ZC3H7A
rna-XM_014544173.1	gene-ZC3H7A	ZC3H7A
rna-XM_014544181.1	gene-TXNDC11	TXNDC11
rna-XM_014544177.1	gene-TXNDC11	TXNDC11
rna-XM_014544176.1	gene-TXNDC11	TXNDC11
rna-XM_014544175.1	gene-TXNDC11	TXNDC11
rna-XM_014544178.1	gene-TXNDC11	TXNDC11
rna-XM_014544180.1	gene-TXNDC11	TXNDC11
rna-XM_005871737.2	gene-SNN	SNN
rna-XR_001363198.1	gene-LOC106727051	LOC106727051
rna-XM_014544183.1	gene-LITAF	LITAF
rna-XM_014544182.1	gene-LITAF	LITAF
rna-XR_001363197.1	gene-LOC106727050	LOC106727050
rna-XR_001363200.1	gene-LOC106727053	LOC106727053
rna-XR_001363201.1	gene-LOC106727053	LOC106727053
rna-XR_001363202.1	gene-LOC106727053	LOC106727053
rna-XR_001363199.1	gene-LOC106727052	LOC106727052
rna-XM_014544168.1	gene-PRM3	PRM3
rna-XM_005871761.1	gene-TNP2	TNP2
rna-XM_005871762.2	gene-SOCS1	SOCS1
rna-XM_005871739.2	gene-CLEC16A	CLEC16A
rna-XM_005871740.2	gene-CLEC16A	CLEC16A
rna-XM_005871741.2	gene-CLEC16A	CLEC16A
rna-XM_014544185.1	gene-CLEC16A	CLEC16A
rna-XM_014544186.1	gene-CLEC16A	CLEC16A
rna-XM_005871763.1	gene-DEXI	DEXI
rna-XM_014544188.1	gene-CIITA	CIITA
rna-XM_014544187.1	gene-CIITA	CIITA
rna-XM_014544190.1	gene-CIITA	CIITA
rna-XM_014544189.1	gene-CIITA	CIITA
rna-XM_014544169.1	gene-LOC106727048	LOC106727048
gene-LOC102248840	gene-LOC102248840	LOC102248840
rna-XM_014544192.1	gene-TVP23A	TVP23A
rna-XM_005871747.2	gene-TVP23A	TVP23A
rna-XM_005871748.2	gene-TVP23A	TVP23A
rna-XM_005871749.2	gene-TVP23A	TVP23A
rna-XM_014544191.1	gene-TVP23A	TVP23A
rna-XR_001363204.1	gene-LOC106727054	LOC106727054
rna-XR_001363203.1	gene-LOC106727054	LOC106727054
rna-XM_005871746.2	gene-NUBP1	NUBP1
rna-XM_005871744.2	gene-NUBP1	NUBP1
rna-XM_005871752.2	gene-TEKT5	TEKT5
rna-XM_005871753.2	gene-EMP2	EMP2
rna-XM_014544196.1	gene-LOC106727055	LOC106727055
rna-XM_014544197.1	gene-LOC106727055	LOC106727055
rna-XM_014544194.1	gene-ATF7IP2	ATF7IP2
rna-XM_014544193.1	gene-ATF7IP2	ATF7IP2
gene-LOC102244735	gene-LOC102244735	LOC102244735
rna-XM_005871755.2	gene-LOC102245326	LOC102245326
rna-XR_001363196.1	gene-LOC102245627	LOC102245627
rna-XR_313900.1	gene-LOC102245627	LOC102245627
rna-XM_005871756.2	gene-GRIN2A	GRIN2A
gene-LOC102246142	gene-LOC102246142	LOC102246142
rna-XR_001363205.1	gene-LOC106727056	LOC106727056
rna-XM_005871764.2	gene-LOC102249148	LOC102249148
gene-LOC102249441	gene-LOC102249441	LOC102249441
rna-XR_001363207.1	gene-LOC106727057	LOC106727057
rna-XR_001363206.1	gene-LOC106727057	LOC106727057
rna-XM_005871765.2	gene-LOC102250035	LOC102250035
rna-XM_014544198.1	gene-DGCR6	DGCR6
rna-XM_014544205.1	gene-LOC102250645	LOC102250645
rna-XM_014544208.1	gene-LOC102253006	LOC102253006
rna-XM_014544199.1	gene-LOC102258248	LOC102258248
rna-XM_014544200.1	gene-LOC102252698	LOC102252698
rna-XM_005871768.2	gene-LOC102252413	LOC102252413
gene-LOC102252123	gene-LOC102252123	LOC102252123
rna-XM_014544206.1	gene-LOC102251235	LOC102251235
rna-XM_005871767.2	gene-LOC102251235	LOC102251235
gene-LOC106727059	gene-LOC106727059	LOC106727059
rna-XM_005871766.2	gene-LOC102250942	LOC102250942
rna-XR_001363212.1	gene-LOC106727062	LOC106727062
rna-XM_014544209.1	gene-LOC102254116	LOC102254116
rna-XM_005871772.2	gene-LOC102253816	LOC102253816
rna-XM_014544207.1	gene-LOC102253816	LOC102253816
rna-XM_005871771.2	gene-LOC102253296	LOC102253296
rna-XM_014544210.1	gene-LOC102254417	LOC102254417
rna-XM_005871773.2	gene-LOC102254417	LOC102254417
rna-XR_313907.2	gene-LOC102255196	LOC102255196
rna-XM_005871775.2	gene-MAT1A	MAT1A
rna-XM_014544203.1	gene-DYDC1	DYDC1
rna-XM_005871776.2	gene-DYDC2	DYDC2
rna-XM_005871777.2	gene-FAM213A	FAM213A
rna-XR_001363215.1	gene-LOC106727066	LOC106727066
rna-XM_014544213.1	gene-TSPAN14	TSPAN14
rna-XM_014544214.1	gene-TSPAN14	TSPAN14
rna-XR_001363213.1	gene-LOC106727064	LOC106727064
rna-XM_014544211.1	gene-SH2D4B	SH2D4B
rna-XM_014544212.1	gene-SH2D4B	SH2D4B
rna-XR_001363214.1	gene-LOC106727065	LOC106727065
rna-XR_001363209.1	gene-LOC106727060	LOC106727060
gene-LOC102257014	gene-LOC102257014	LOC102257014
gene-LOC102258836	gene-LOC102258836	LOC102258836
rna-XM_014544204.1	gene-NRG3	NRG3
gene-LOC102257324	gene-LOC102257324	LOC102257324
gene-LOC102257628	gene-LOC102257628	LOC102257628
gene-LOC102257945	gene-LOC102257945	LOC102257945
rna-XR_001363216.1	gene-LOC106727067	LOC106727067
rna-XR_001363217.1	gene-LOC106727067	LOC106727067
rna-XR_001363218.1	gene-LOC106727067	LOC106727067
rna-XR_001363219.1	gene-LOC106727068	LOC106727068
rna-XM_014544225.1	gene-LOC102261978	LOC102261978
rna-XM_014544226.1	gene-LOC102261978	LOC102261978
rna-XR_001363220.1	gene-LOC106727070	LOC106727070
rna-XM_014544215.1	gene-COL5A1	COL5A1
rna-XM_014544216.1	gene-RXRA	RXRA
rna-XM_014544217.1	gene-LOC106727069	LOC106727069
rna-XR_001363221.1	gene-LOC106727071	LOC106727071
rna-XM_005871785.2	gene-WDR5	WDR5
rna-XM_014544218.1	gene-BRD3	BRD3
rna-XM_014544219.1	gene-VAV2	VAV2
rna-XM_014544220.1	gene-SARDH	SARDH
rna-XM_005871799.2	gene-DBH	DBH
rna-XR_001363222.1	gene-LOC106727072	LOC106727072
rna-XR_001363223.1	gene-LOC106727072	LOC106727072
rna-XR_001363224.1	gene-LOC106727072	LOC106727072
rna-XM_014544227.1	gene-LOC106727072	LOC106727072
rna-XM_014544221.1	gene-ADAMTSL2	ADAMTSL2
rna-XM_005871802.2	gene-TMEM8C	TMEM8C
rna-XM_014544223.1	gene-SLC2A6	SLC2A6
rna-XM_014544228.1	gene-LOC102260522	LOC102260522
rna-XM_005871786.2	gene-CACFD1	CACFD1
rna-XM_014544224.1	gene-ADAMTS13	ADAMTS13
rna-XM_005871805.2	gene-REXO4	REXO4
rna-XM_005871789.2	gene-STKLD1	STKLD1
rna-XM_005871790.2	gene-SURF4	SURF4
rna-XM_005871806.2	gene-SURF2	SURF2
rna-XM_014544230.1	gene-SURF1	SURF1
rna-XM_014544231.1	gene-SURF1	SURF1
rna-XM_005871791.2	gene-RPL7A	RPL7A
rna-XM_014544229.1	gene-RPL7A	RPL7A
rna-XM_014544232.1	gene-MED22	MED22
rna-XM_005871808.1	gene-SURF6	SURF6
rna-XM_014544233.1	gene-LOC106727073	LOC106727073
gene-LOC102253209	gene-LOC102253209	LOC102253209
rna-XM_005871809.2	gene-LOC102241868	LOC102241868
rna-XM_014544244.1	gene-SOX5	SOX5
rna-XM_005871812.2	gene-SOX5	SOX5
rna-XM_014544246.1	gene-SOX5	SOX5
rna-XM_014544247.1	gene-SOX5	SOX5
rna-XM_014544245.1	gene-SOX5	SOX5
rna-XM_014544242.1	gene-SOX5	SOX5
gene-LOC102253512	gene-LOC102253512	LOC102253512
rna-XM_005871815.2	gene-BCAT1	BCAT1
rna-XM_005871814.2	gene-BCAT1	BCAT1
rna-XM_005871813.2	gene-BCAT1	BCAT1
rna-XM_014544234.1	gene-LOC102253817	LOC102253817
rna-XM_014544249.1	gene-LRMP	LRMP
rna-XM_014544251.1	gene-LRMP	LRMP
rna-XM_014544252.1	gene-LRMP	LRMP
rna-XM_014544250.1	gene-LRMP	LRMP
rna-XM_014544253.1	gene-LRMP	LRMP
rna-XM_005871818.2	gene-CASC1	CASC1
rna-XM_005871816.2	gene-CASC1	CASC1
rna-XM_005871817.2	gene-CASC1	CASC1
rna-XM_005871822.2	gene-LYRM5	LYRM5
rna-XM_014544254.1	gene-LYRM5	LYRM5
rna-XM_014544256.1	gene-KRAS	KRAS
rna-XM_014544259.1	gene-KRAS	KRAS
rna-XM_014544258.1	gene-KRAS	KRAS
rna-XM_014544257.1	gene-KRAS	KRAS
rna-XM_014544260.1	gene-LOC102254701	LOC102254701
rna-XR_001363225.1	gene-LOC106727075	LOC106727075
rna-XM_005871823.2	gene-LMNTD1	LMNTD1
rna-XM_014544235.1	gene-LOC102255305	LOC102255305
rna-XM_005871824.2	gene-RASSF8	RASSF8
rna-XM_014544236.1	gene-LOC102246556	LOC102246556
rna-XM_014544237.1	gene-LOC102255606	LOC102255606
rna-XM_014544238.1	gene-BHLHE41	BHLHE41
rna-XM_005871825.2	gene-SSPN	SSPN
rna-XM_014544262.1	gene-SSPN	SSPN
rna-XM_014544268.1	gene-ITPR2	ITPR2
rna-XM_014544267.1	gene-ITPR2	ITPR2
rna-XM_014544263.1	gene-ITPR2	ITPR2
rna-XM_014544264.1	gene-ITPR2	ITPR2
rna-XM_014544265.1	gene-ITPR2	ITPR2
rna-XM_014544266.1	gene-ITPR2	ITPR2
rna-XM_014544269.1	gene-ITPR2	ITPR2
rna-XM_005871827.2	gene-ASUN	ASUN
rna-XM_014544271.1	gene-ASUN	ASUN
rna-XM_014544272.1	gene-ASUN	ASUN
rna-XM_014544277.1	gene-ASUN	ASUN
rna-XM_014544278.1	gene-ASUN	ASUN
rna-XM_014544279.1	gene-ASUN	ASUN
rna-XM_014544276.1	gene-ASUN	ASUN
rna-XM_005871826.2	gene-ASUN	ASUN
rna-XM_014544273.1	gene-ASUN	ASUN
rna-XM_014544275.1	gene-ASUN	ASUN
rna-XM_014544280.1	gene-FGFR1OP2	FGFR1OP2
rna-XM_014544281.1	gene-FGFR1OP2	FGFR1OP2
rna-XM_014544282.1	gene-FGFR1OP2	FGFR1OP2
rna-XM_005871853.2	gene-TM7SF3	TM7SF3
rna-XM_005871833.2	gene-MED21	MED21
rna-XM_005871836.2	gene-STK38L	STK38L
rna-XM_014544283.1	gene-STK38L	STK38L
rna-XM_014544284.1	gene-STK38L	STK38L
rna-XM_014544285.1	gene-STK38L	STK38L
rna-XM_005871837.2	gene-STK38L	STK38L
rna-XM_005871838.2	gene-STK38L	STK38L
rna-XM_005871839.2	gene-ARNTL2	ARNTL2
rna-XM_005871840.2	gene-SMCO2	SMCO2
rna-XM_014544287.1	gene-SMCO2	SMCO2
rna-XR_001363227.1	gene-LOC102250339	LOC102250339
rna-XM_005871855.2	gene-PPFIBP1	PPFIBP1
rna-XM_014544288.1	gene-LOC102256810	LOC102256810
rna-XM_005871841.2	gene-REP15	REP15
rna-XM_014544239.1	gene-MRPS35	MRPS35
rna-XM_005871842.2	gene-MANSC4	MANSC4
rna-XM_014544241.1	gene-KLHL42	KLHL42
rna-XM_005871844.2	gene-PTHLH	PTHLH
rna-XM_014544290.1	gene-PTHLH	PTHLH
rna-XR_001363228.1	gene-LOC102251921	LOC102251921
gene-LOC102258035	gene-LOC102258035	LOC102258035
rna-XM_005871845.2	gene-CCDC91	CCDC91
rna-XM_014544292.1	gene-CCDC91	CCDC91
rna-XM_014544291.1	gene-CCDC91	CCDC91
rna-XM_005871846.2	gene-CCDC91	CCDC91
gene-LOC102252916	gene-LOC102252916	LOC102252916
gene-LOC102258342	gene-LOC102258342	LOC102258342
rna-XR_001363229.1	gene-LOC106727076	LOC106727076
rna-XM_005871860.2	gene-TMEM27	TMEM27
rna-XM_014544298.1	gene-TMEM27	TMEM27
rna-XM_005871861.2	gene-TMEM27	TMEM27
rna-XM_014544294.1	gene-ACE2	ACE2
rna-XM_014544296.1	gene-ACE2	ACE2
rna-XM_014544297.1	gene-ACE2	ACE2
rna-XM_014544295.1	gene-ACE2	ACE2
rna-XM_014544300.1	gene-BMX	BMX
rna-XM_005871863.2	gene-PIR	PIR
rna-XM_005871866.2	gene-FIGF	FIGF
rna-XM_005871864.2	gene-FIGF	FIGF
rna-XR_001363231.1	gene-LOC106727078	LOC106727078
rna-XM_005871867.2	gene-PIGA	PIGA
rna-XM_014544301.1	gene-PIGA	PIGA
rna-XM_005871868.2	gene-PIGA	PIGA
rna-XM_005871869.2	gene-ASB11	ASB11
rna-XM_014544304.1	gene-ASB11	ASB11
rna-XM_014544303.1	gene-ASB11	ASB11
rna-XM_005871870.2	gene-ASB11	ASB11
gene-LOC102242170	gene-LOC102242170	LOC102242170
rna-XM_014544308.1	gene-ASB9	ASB9
rna-XM_014544307.1	gene-ASB9	ASB9
rna-XM_014544309.1	gene-ASB9	ASB9
rna-XM_014544310.1	gene-ASB9	ASB9
rna-XM_014544305.1	gene-ASB9	ASB9
rna-XM_005871877.2	gene-MOSPD2	MOSPD2
rna-XM_005871876.2	gene-MOSPD2	MOSPD2
rna-XM_014544311.1	gene-FANCB	FANCB
rna-XM_005871878.2	gene-GLRA2	GLRA2
rna-XM_005871879.2	gene-GLRA2	GLRA2
rna-XM_014544312.1	gene-GLRA2	GLRA2
rna-XM_014544313.1	gene-GLRA2	GLRA2
rna-XR_001363230.1	gene-LOC106727077	LOC106727077
gene-LOC102238790	gene-LOC102238790	LOC102238790
rna-XM_014544316.1	gene-GEMIN8	GEMIN8
rna-XM_005871881.2	gene-GEMIN8	GEMIN8
rna-XM_014544318.1	gene-GEMIN8	GEMIN8
rna-XM_014544317.1	gene-GEMIN8	GEMIN8
rna-XM_005871880.2	gene-GEMIN8	GEMIN8
rna-XM_014544315.1	gene-GEMIN8	GEMIN8
rna-XM_005871883.2	gene-GPM6B	GPM6B
rna-XM_005871885.2	gene-GPM6B	GPM6B
rna-XM_005871882.2	gene-GPM6B	GPM6B
rna-XM_005871884.2	gene-GPM6B	GPM6B
rna-XM_014544321.1	gene-OFD1	OFD1
rna-XM_014544320.1	gene-OFD1	OFD1
rna-XM_014544319.1	gene-OFD1	OFD1
rna-XM_005871888.2	gene-TRAPPC2	TRAPPC2
rna-XM_005871889.2	gene-RAB9A	RAB9A
rna-XM_014544322.1	gene-RAB9A	RAB9A
rna-XM_014544323.1	gene-RAB9A	RAB9A
rna-XM_005871890.2	gene-RAB9A	RAB9A
rna-XM_014544325.1	gene-TCEANC	TCEANC
rna-XM_014544324.1	gene-TCEANC	TCEANC
rna-XM_014544293.1	gene-EGFL6	EGFL6
gene-LOC102243075	gene-LOC102243075	LOC102243075
rna-XM_014544331.1	gene-LRRC7	LRRC7
rna-XM_014544329.1	gene-LRRC7	LRRC7
rna-XM_014544330.1	gene-LRRC7	LRRC7
rna-XM_014544332.1	gene-LRRC7	LRRC7
rna-XM_014544333.1	gene-LRRC7	LRRC7
rna-XM_005871895.2	gene-LRRC7	LRRC7
rna-XM_005871897.2	gene-LRRC7	LRRC7
rna-XM_005871901.2	gene-LRRC40	LRRC40
rna-XM_005871902.2	gene-LRRC40	LRRC40
rna-XM_014544334.1	gene-LRRC40	LRRC40
rna-XM_005871904.2	gene-SRSF11	SRSF11
rna-XM_014544340.1	gene-SRSF11	SRSF11
rna-XM_014544341.1	gene-SRSF11	SRSF11
rna-XM_014544343.1	gene-SRSF11	SRSF11
rna-XM_014544342.1	gene-SRSF11	SRSF11
rna-XM_014544335.1	gene-SRSF11	SRSF11
rna-XM_014544336.1	gene-SRSF11	SRSF11
rna-XM_014544337.1	gene-SRSF11	SRSF11
rna-XM_014544338.1	gene-SRSF11	SRSF11
rna-XM_014544339.1	gene-SRSF11	SRSF11
rna-XM_005871906.2	gene-LOC102246033	LOC102246033
rna-XM_005871960.2	gene-ANKRD13C	ANKRD13C
gene-LOC102246347	gene-LOC102246347	LOC102246347
rna-XM_005871907.2	gene-CTH	CTH
gene-LOC102262919	gene-LOC102262919	LOC102262919
gene-LOC102246969	gene-LOC102246969	LOC102246969
rna-XR_001363232.1	gene-LOC106727080	LOC106727080
rna-XR_313917.1	gene-LOC102247276	LOC102247276
rna-XM_005871908.2	gene-PTGER3	PTGER3
rna-XM_005871909.2	gene-PTGER3	PTGER3
rna-XM_014544345.1	gene-PTGER3	PTGER3
rna-XM_014544344.1	gene-PTGER3	PTGER3
rna-XM_014544346.1	gene-PTGER3	PTGER3
rna-XM_014544347.1	gene-PTGER3	PTGER3
rna-XM_005871910.2	gene-LOC102248150	LOC102248150
rna-XR_001363237.1	gene-ZRANB2	ZRANB2
rna-XM_014544348.1	gene-ZRANB2	ZRANB2
rna-XR_001363238.1	gene-ZRANB2	ZRANB2
rna-XM_005871911.2	gene-ZRANB2	ZRANB2
rna-XM_005871913.2	gene-NEGR1	NEGR1
rna-XR_001363239.1	gene-LOC106727085	LOC106727085
rna-XM_014544326.1	gene-LOC102263227	LOC102263227
gene-LOC102249243	gene-LOC102249243	LOC102249243
gene-LOC102263524	gene-LOC102263524	LOC102263524
rna-XR_001363233.1	gene-LOC106727082	LOC106727082
gene-LOC102263828	gene-LOC102263828	LOC102263828
rna-XM_014544349.1	gene-LRRIQ3	LRRIQ3
rna-XM_005871915.2	gene-FPGT	FPGT
rna-XM_005871916.2	gene-LOC102250129	LOC102250129
rna-XM_014544350.1	gene-LOC102261688	LOC102261688
rna-XM_005871918.2	gene-ERICH3	ERICH3
rna-XM_005871917.2	gene-ERICH3	ERICH3
rna-XM_005871920.2	gene-CRYZ	CRYZ
rna-XM_014544351.1	gene-CRYZ	CRYZ
rna-XM_005871919.2	gene-CRYZ	CRYZ
rna-XM_005871922.2	gene-TYW3	TYW3
rna-XM_014544327.1	gene-LHX8	LHX8
rna-XM_005871925.2	gene-SLC44A5	SLC44A5
rna-XM_014544352.1	gene-SLC44A5	SLC44A5
gene-LOC106727079	gene-LOC106727079	LOC106727079
rna-XM_014544353.1	gene-ACADM	ACADM
rna-XM_014544355.1	gene-RABGGTB	RABGGTB
rna-XM_014544354.1	gene-RABGGTB	RABGGTB
rna-XM_005871926.2	gene-RABGGTB	RABGGTB
rna-XM_005871963.1	gene-MSH4	MSH4
rna-XM_005871927.2	gene-ASB17	ASB17
gene-LOC102253297	gene-LOC102253297	LOC102253297
rna-XM_014544357.1	gene-ST6GALNAC3	ST6GALNAC3
rna-XM_014544356.1	gene-ST6GALNAC3	ST6GALNAC3
rna-XM_005871928.2	gene-ST6GALNAC3	ST6GALNAC3
gene-LOC102262289	gene-LOC102262289	LOC102262289
rna-XM_005871964.1	gene-ST6GALNAC5	ST6GALNAC5
rna-XM_014544358.1	gene-PIGK	PIGK
rna-XM_014544328.1	gene-AK5	AK5
rna-XM_014544362.1	gene-ZZZ3	ZZZ3
rna-XM_014544363.1	gene-ZZZ3	ZZZ3
rna-XM_005871930.2	gene-ZZZ3	ZZZ3
rna-XM_005871931.2	gene-ZZZ3	ZZZ3
rna-XM_014544359.1	gene-ZZZ3	ZZZ3
rna-XM_014544360.1	gene-ZZZ3	ZZZ3
rna-XM_014544361.1	gene-ZZZ3	ZZZ3
rna-XM_005871932.2	gene-USP33	USP33
rna-XM_014544365.1	gene-USP33	USP33
rna-XM_005871935.2	gene-FAM73A	FAM73A
rna-XM_014544366.1	gene-FAM73A	FAM73A
rna-XM_005871936.2	gene-NEXN	NEXN
rna-XM_014544367.1	gene-NEXN	NEXN
rna-XM_014544369.1	gene-NEXN	NEXN
rna-XM_005871937.2	gene-NEXN	NEXN
